Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000500910908733876,-0.00998629103930559,0.0173218447986229,0,0,0,0.135949336403266,1.97764712583923E-05,2.95428059624508E-09,-2.25102941158597E-08,7.26645068369103E-05,-1.73059202753526E-06,6.99381839815544E-05,0,0,0,0,0,0,package://V4.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/base_link.STL,,0203Assemble【MainBody】LegAssem_V2_0203-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist,-8.30608238439057E-11,0.0324696863156453,0.00531795471648416,0,0,0,0.0152478549678287,9.63125992413617E-06,-4.11230545715372E-14,-1.78226542256735E-14,5.88153288004389E-06,1.47868590781889E-07,5.40129346132741E-06,0,0,0,0,0,0,package://V4.SLDASM/meshes/Waist.STL,1,1,1,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/Waist.STL,,0203AssembleYaw_Swing_URDF2-1,Origin_Waist,WAIST,Waist,fixed,0.00275,0,0.04211,1.5708,0,0,base_link,0,0,0,0,0,-0.52,0.52,,,,,,,,
Waist_2,0.000488921628191946,0.158904911204199,-0.00145233666018986,0,0,0,0.592931062078891,0.000601071923731556,1.2892451729049E-06,2.54284162583461E-05,0.000814982910525989,1.10939073171587E-05,0.00113760922496659,0,0,0,0,0,0,package://V4.SLDASM/meshes/Waist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/Waist_2.STL,,0203AssembleBodyUrdf-1;Neck2.3-2,Origin_Waist_2,WAIST_2,Waist_2,revolute,0,0.021605,0.00067,-3.1416,0,3.1386,Waist,-0.0029703,-1,0,0,0,-6.28,6.28,,,,,,,,
RSDp,0.029365339777939,-0.0145376874428952,-0.0120536310806074,0,0,0,0.00866996756608241,2.4185481628886E-06,4.81669677091078E-08,3.69839487042427E-07,2.62122104926124E-06,-1.15971922654066E-07,8.26141091388542E-07,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDp.STL,,Right_SD_p-1,Origin_RSDp,RSDp,RSDp,revolute,-0.081055,0.13392,0.003366,3.0698,-0.053568,3.1386,Waist_2,1,0,0,0,0,-1.57,1.57,,,,,,,,
RSDy,-0.00268951566935521,-0.0432907123235495,-0.0121725877314745,0,0,0,0.0027087888876167,7.44326056980046E-07,9.46622369551179E-08,4.12905364173831E-08,5.11482673925875E-07,2.03709556090736E-07,4.13356846017119E-07,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDy.STL,,RIGHT_SD_y-1,Origin_RSDy,RSDy,RSDy,revolute,0.047234,0.01,-0.00611,0,0,0,RSDp,0,0.071764,-0.99742,0,0,-1.39,0.14,,,,,,,,
RSDr,-0.000648993351435478,-0.0644490658095404,-0.00501037463776728,0,0,0,0.0562439571547897,5.2705855755284E-06,4.82411697262527E-09,-1.90476291295014E-07,3.88872299888649E-06,1.83876643864369E-07,5.30321918043652E-06,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RSDr.STL,,RIGHT_SD_r-1,Origin_RSDr,R_ARM_R <RIGHT_SD_r-1>,RSDr,fixed,-0.0052192,-0.057271,0.0026804,3.0635,0.002804,-3.1059,RSDy,0,0,0,0,0,-0.22,1.47,,,,,,,,
RARMp,-0.0109855620136424,-0.0393014331349118,-0.00773020942152065,0,0,0,0.0235552377109809,5.8944608141404E-06,4.34439663989622E-08,4.87026070269323E-08,1.84730677144131E-06,-1.05630143241146E-08,4.82704520175826E-06,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMp.STL,,RIGHT_ARM_p-1,Origin_RARMp,RARMp,RARMp,revolute,0.0033115,-0.092555,-0.00059797,0.0063485,1.1667E-05,0.035763,RSDr,1,0,0,0,0,-2.26,0.29,,,,,,,,
RARMAP,-1.68452360393978E-09,1.782521449889E-09,1.87540552878951E-09,0,0,0,0.00289019916273484,3.47835662925469E-08,-8.69318646394787E-21,-9.15047848596362E-21,3.47835662925478E-08,9.64881793526577E-21,3.47835662925488E-08,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMAP.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMAP.STL,,RIGHT_ARM_ANKLE_P-1,RARMAP,Axis_RARMAP,RARMAP,revolute,-0.0035,-0.14,0,-3.1416,0.053568,3.1416,RARMp,-0.99857,0,0.053543,0,0,-0.06,1.04,,,,,,,,
RARMAy,-2.19445656091111E-10,-0.0174193425200825,0.0244034803681567,0,0,0,0.0137620822183961,5.08058079936302E-06,1.68282660449513E-14,8.1798155085746E-15,6.07928688954362E-06,2.7604838016127E-09,1.17720006677435E-06,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMAy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/RARMAy.STL,,RIGHT_ARM_ANKLE_Y-1,123yrs,RARMAy,RARMAy,fixed,0,0,0,0,0.053568,0,RARMAP,0,0,1,0,0,-0.17,0.17,,,,,,,,
LSDp,-0.0264850638874403,-0.0161380599865885,-0.0115557024217441,0,0,0,0.00824326074358946,2.40080281350152E-06,-7.45183864648936E-08,-3.65127810019035E-07,2.58667384237348E-06,-2.43286627561113E-07,8.42040299247692E-07,0,0,0,0,0,0,package://V4.SLDASM/meshes/LSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V4.SLDASM/meshes/LSDp.STL,,Left_SD_p-1,Origin_LSDp,LSDp,LSDp,revolute,0.085975,0.13342,-0.0055901,3.1415,-0.052511,3.141,Waist_2,1,0.0023807,-0.001057,0,0,-1.57,1.57,,,,,,,,
